Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
159,1185 Sierra Ave,1350000,"Situated in one of San Jose's most beloved neighborhoods, this 1918 Bungalow is a treasure. The architecture is original and true to the styles found throughout ""Shasta-Hanchett"". Interior built-in features and the massive fireplace are preserved, while the huge kitchen and both baths are updated. Rooms are spacious, comfortable, open, and light-filled. Original floors are newly refinished and they gleam. All three bedrooms are large and airy. One bedroom's closet has been remodeled as a bath with shower. The large kitchen boasts loads of cabinets, an island fit for a chef, gas cook-top, wall oven and microwave, dishwasher, and a desk. The breakfast room is a fine office space, too. The sun room is delightful, and the finished basement is truly usable space. Relax on the sunny deck. Note the garden and fruit trees. Walk to Whole Foods, The Alameda cafes, Sharks, Diridon Station, Downtown, and in the future, Google. So rare, you must not let this special home pass you by. Open Sat/Sun.",SingleFamily,1918,Central Forced Air,None,"Garage, Garage - Attached, Covered",6098,"Ground Floor Bedroom, Master Bedroom on Ground Floor",2,2,1688,1,1,San Jose,Merritt Trace Elementary School,4,0.7,Herbert Hoover Middle School,3,0.6,Abraham Lincoln High School,5,0.7,"Tile, Hardwood","Forced air, Gas",None,"Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Tub / Sink, Washer / Dryer, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",516143,7326,2019/12/2,1225000,1994/6/6,329000,San Jose,95126,CA
160,1107 Waterton Ln,760000,"Welcome to this charming 2Bed/2Bath 1444SF end unit Townhome. With its spacious and open floor plan, it will not disappoint. Remodeled kitchen includes custom cabinets, Quartz countertops, and wet bar with new Quartz counters. Plenty of natural light adds to the warmth of this cozy home. Private patio is ideal for entertaining friends and family. Venture to the second floor and you will find a large Master Bedroom, full bathroom with new tile floors, and walk in closet. Adjacent to the first bedroom is a Large Master Suite Retreat on the third floor. The Master Retreat Bathroom was completely remodeled with Quartz counters, custom cabinets, and a walk in shower with upgraded tile. A large walk in closet compliments this suite. Adjacent to the kitchen is an indoor laundry room for ease and convenience. Attached two car garage is large, and can be accessed from within the residence. Conveniently located to shopping, entertainment, freeways, and schools. Make this delightful home yours!",Townhouse,1979,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",1524,"Master Suite / Retreat, Walk-in Closet, More than One Master Bedroom",2,2,1444,1,1,San Jose,Vinci Park Elementary School,8,0.3,Morrill Middle School,6,2.2,Independence High School,6,0.9,"Tile, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",200582,3804,2019/11/27,789999,,,San Jose,95131,CA
161,3924 Dalton Ave,645000,,Unknown,1914,,None,Concrete,,,,,,0,0,Los Angeles,Martin Luther King Jr. Elementary School,2,0.3,,,,Manual Arts Senior High School,3,0.7,,,None,,,Concrete,503440,6324,2019/8/26,659000,2005/6/6,395000,Los Angeles,90062,CA
162,657 S Kern Ave,655000,"Great Opportunity! TRIPLEX For Sale!   Live-In One & Rent The Others.   Front Unit Features: 2 Bedrooms, 1 Bath... Middle Unit Features: 2 Bedrooms, 1 Bath... Back Unit Features: 2 Bedrooms, 1 Bath.  Each Unit Has 1 Car Garage, Plus Additional Parking...  Great Rental Cash-Flow...  Located In The Heart of East Los Angeles, Cross Street: Whittier Blvd...   Within 10mins From Downtown Los Angeles, Bus Stops, Shopping Centers.",Unknown,1929,,,Garage,,,,,2266,3,3,Los Angeles,Humphreys Avenue Elementary School,5,0.4,David Wark Griffith Middle School,5,0.4,,,,,,,,None,Garage,341755,5630,2019/8/25,670000,1995/11/15,153000,Los Angeles,90022,CA
163,2946 Del Loma Dr,1300000,"Big airy and bright that lets the sunshine in through Elizabeth shutters, Custom firepalce mantal with custom woodburning fireplace with smoked rimless glass, custom built-in cabentry, Fish tank and gear, LED lighting throughout, Casablanca ceiling fans with remote control, house fan, Italian chandelier/sconces with 24 carat leaded glass, Gaggenau double convection ovens, Fagor induction cooktop, Cathedral ceilings on the 2nd floor, double pane windows and doors, hardwood floors, luxurious custom carpet for staircase and 2nd floor, Shades of gray with black trim paint theme throughout house before the 50 shades of gray was written!
Beautiful Japanese inspired front yard with unique curved flagstone entry way and Japanese style fence.  Low maintenance exterior: 50 year Metal shake style roof, Stucco / vinyl siding with all wood wrapped.  Paneled french doors showing off the custom pergolas in the backyard with flagstone and custom decking and top of the line Hot Springs Grandee spa.  Huge 3 bathrooms, master bdrm has double hans grohe glassed in shower, kohler toilets, each room has installed lights operated by wall switch even upstairs laundry room, attic, and under stairs storage space!

Elegant, serene, simple with realistic walking distances for all typical needs. The unique curved flagstone walkway leads to the Japanese style covered fences slowing time inspired by Japanese themed rock garden with Japanese Maples, bonsai style fir trees, and specially selected plants and features, serenely preparing for the open air stunning sun bathed home interior. Attention is drawn downward upon entering as the beauty and natural warmth of the red oak hardwood floor contrasts the modern color tones, exquisitely selected to continue the elegance inside and contrasting the soaring ceilings in the living room. In the living room a custom designed fireplace mantel made with unique woods and jade surrounds a frameless smoked glass wood burning fireplace and is matched with a unique Italian chandelier and majestic soaring mirror allowing appreciation of the chandelier when sitting. Second story windows clad in shutters compliment the mirror, further highlighting the soaring ceilings in the living room: simple but elegant. Basic tiles in the black trimmed white kitchen are matched with the sophistication of induction pantone gray cooktop, Double Gaggenau Convection ovens etc with spacious food preparation areas and pantry. Dimmable LED lighting throughout allows for desired ambiance balanced with energy savings, form and function. Cathedral ceilings extend the entire 2nd floor. A southern facing large bay shuttered window with accompanying skylight overlooking the staircase allows natural lighting till dusk. Windows provide views, from the kitchen window with the large Japanese lantern under a Japanese maple to the Master bedroom balcony view of the nearby giant redwoods, mountains / hills / and greenbelt westward facing. The morning sun highlights the redwoods in the morning with Tahoe-like spectacular view as the day begins. Natural sunlight abounds! Low maintenance exterior, balance of front yard, backyard, and interior: elegant convenience.",SingleFamily,1982,Central Forced Air,Window / Wall Unit,"Garage, Garage - Attached, Covered",4185,"Master Suite / Retreat, Walk-in Closet",3,2,1740,2,2,Campbell,Forest Hill Elementary School,9,0.6,Rolling Hills Middle School,7,0.3,Westmont High School,7,0.3,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Trash compactor","Upper Floor, Inside","Garage, Garage - Attached, Covered",420541,5967,2019/6/26,1449950,,,Campbell,95008,CA
164,11042 S Manhattan Pl,600000,"Beautifully remodeled home with classic curb appeal and character to spare!! This three-bedroom, one bath is picture perfect with it∏MŸ¸ a stone facade and charming bay windows. Windows frame this brightly open space living room with recessed lighting and natural wood flooring. Kitchen is a chef's dream with all white marble counter tops, beautiful chevron tile back splash and convenient island for even more storage. Bedrooms are plenty spacious with roomy closets and ceiling fans; hall bathroom is fully updated with his and hers vessel sinks for a modern classic look. Laundry space is conveniently located inside home, outside access from the kitchen leads you to vast back yard where you can let your imagination run wild! 2 car detached garage with access through alley way, this home is surrounded by parks and shopping centers all around!",SingleFamily,1947,Central,Central Air,"Garage, Garage Faces Rear",6851,3,1,1,1069,2,2,Los Angeles,Cimarron Avenue Elementary School,4,0.5,Animo Charter Middle No. 3,4,0.8,George Washington Preparatory High School,2,0.4,Laminate,Central,Central Air,"ENERGY STAR Qualified Appliances, Gas Oven, Gas Range, Microwave, Water Heater","Inside, Stackable","Garage, Garage Faces Rear",48805,1185,2019/10/30,579888,2019/7/8,423000,Los Angeles,90047,CA
165,2151 Oakland Rd SPC 203,265000,"Gorgeous 3 bedroom, 2 bath home on a corner lot in the pet friendly, all-age community of Casa del Lago. Home features a vaulted ceiling, double pane windows, wood burning fireplace and beautiful laminate floors. Spacious kitchen with ample counter space, plenty of cabinets, stainless steel refrigerator, dishwasher and cooktop. Carport fits 3 cars. Storage shed at the end of the carport. Make: Fleetwood Year: 1995 Size: 25'8"" x 52' = 1,334 sq ft Serial #: CAFLS17A17656SH12 and CAFLS17B17656SH12 *Information deemed reliable, but not guaranteed. All interested persons should independently verify its accuracy.*",MobileManufactured,1995,"Central Forced Air, Gas",Window / Wall Unit,Carport,,3,2,2,1334,0,0,San Jose,Orchard Elementary School,6,0.5,,,,Independence High School,6,3.4,,"Forced air, Gas",Wall,,,Carport,,,2019/8/23,279900,,,San Jose,95131,CA
166,11954 Goshen Ave #102,986000,"Charming unit in a highly coveted neighborhood of Brentwood.  Enter the expansive unit and immediately enjoy an inviting fireplace in the living room that features soaring wood beamed ceilings which also extends into the kitchen and eating area.  This fully renovated unit consists of a flexible floorplan that is open to many possibilities.  The master suite is complete with a fireplace and its own living room or office space.  The 2nd bedroom is on the top floor and is absolutely flooded with natural light.  Conveniently the unit features a side by side in unit laundry closet and two side by side parking spaces.  Also, in the parking garage you will find a bonus room that is only for this unit and consists of approx. 381sqft that serves as a blank canvas of possibilities. Trust Sale, no court confirmation required.",Condo,1973,,,"Garage, Garage - Two Door",,2,2,2,1547,0,0,Los Angeles,Brockton Avenue Elementary School,5,0.2,Paul Revere Middle School,7,2,University Senior High School Charter,6,0.3,,,,,,"Garage, Garage - Two Door",783819,9550,2019/11/22,899000,,,Los Angeles,90049,CA
167,1625 Brommer St SPC 7,212000,"This unit has been spruced up with new carpet and interior paint. Bring your surfboard and move right in! Located in an all-age mobile home park near Santa Cruz beaches, harbor, biking trails, and restaurants. Affordable Santa Cruz living! Perfect as a starter property or if you're ready to downsize. Low maintenance!Property Information ?§ƒ? 2012 MLSListings Inc. All rights reserved. Certain information contained herein is derived from information which is the licensed property of, and copyrighted by, MLSListings Inc.",MobileManufactured,1988,Central Forced Air,None,Carport,,1,1,,500,0,0,Santa Cruz,Live Oak Elementary School,7,0.3,Mission Hill Middle School,6,3.2,Cypress Charter High School,6,0.4,Laminate,"Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",Washer / Dryer,Carport,,,2019/9/23,215000,2018/4/20,159000,Santa Cruz,95062,CA
168,510 Barson St,764000,"For your Investor or First-Time-Home-Buyer Clients! Get into the housing market in Silicon Valley's coolest zip code for under $600,000.  Investment or market-entry opportunity in up-and-coming neighborhood in Santa Cruz.  Located in the heart of the City of Santa Cruz's 70-acre Ocean Street Improvement Project, 510 Barson most recently rented for $2800 a month and is destined to increase in value as the Beach Flats area is revitalized and beautified as part of the Improvement Project.  This 3-bedroom, 1-bath Victorian-style bungalow offers close proximity to the Santa Cruz Wharf and Harbor, Rio Theatre, shopping, restaurants and parks.  And this charming home is only a short distance across the river and a left-hand turn to the shopping, music and culture of Pacific Avenue and downtown Santa Cruz.",SingleFamily,1946,"Forced air, Gas",None,"Carport, On-street",3223,3,1,1,1008,0,0,Santa Cruz,Gault Elementary School,3,0.6,Mission Hill Middle School,6,1.2,Harbor High School,7,1.7,Hardwood,"Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",,"Carport, On-street",637500,7460,2017/7/7,599000,2017/8/29,625000,Santa Cruz,95060,CA
169,1943 Laughlin Park Dr,2594500,"Designed & built by well-known Architect, Carleton M. Winslow as his private home, this lovely gem of a 1922 Spanish home is waiting to be brought back to life. Located in the coveted Laughlin Park. It has 4 bd, 3 ba. & boasts much of its' original details & ambiance. Hdwd floors thru-out much of the home are in handsome condition. Frpls can be found in both the LV & DR, both w/high ceilings & wood detailing. One can find the rare butler's pantry off the kit & DR, perfect for entertaining w/ease. The beautiful large terr. off the dining room, lined w/Spanish tiles, is perfect for outdoor entertaining dinners or morning coffee. One can ""wine-and-dine"" overlooking the lush green yard; there's room for a pool or for children to play. The main three bdrms are on the 2nd floor, along w/2 ba., original tubs, sinks & 1920's fixtures & tile work. This homes' fine design, good state of preservation & its' contribution to the architectural & historical context of the Laughlin Park neighborhood.",SingleFamily,1922,Floor Furnace,,"Driveway, Garage",,4,3,3,2329,0,0,Los Angeles,Cheremoya Avenue Elementary School,6,1,Joseph Le Conte Middle School,3,1.1,Hollywood Senior High School,6,2.2,"Wood, Tile",Floor Furnace,,"Dishwasher, Microwave, Refrigerator, Trash Compactor",,"Driveway, Garage",157316,2114,2019/9/16,1858900,,,Los Angeles,90027,CA
170,1085 W Kensington Rd,741000,"Incredible opportunity to be a part of the historic neighborhood of Angelino Heights H.P.O.Z. The main floor of this completely renovated townhome features a spacious open floorplan with a kitchen complete with a breakfast bar and brand new Viking appliances (never used), a dining area, a living area with a gas fireplace and a balcony with fantastic views of downtown LA! Freshly painted and new wood flooring throughout the spacious 2-bed/2-bath unit. Upstairs offers 2 large bedrooms; the master bedroom with a vaulted ceiling and the 2nd bedroom with great views of downtown. Attached 2 car private garage with a large bonus room that could be used for various needs and access to the washer & dryer. Fantastic neighborhood, walking distance to shops, restaurants, Echo Park Lake and more!",Condo,1982,Central,,"Direct Access, Garage Door Opener, Garage - Two Door, Private",,2,2,2,1059,0,0,Los Angeles,Logan Street Elementary School,2,0.5,,,,Belmont Senior High School,3,0.7,Wood,Central,,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Garage,"Direct Access, Garage Door Opener, Garage - Two Door, Private",176468,2250,2019/12/6,699000,,,Los Angeles,90026,CA
171,712 W 137th St,500000,"This stunning single-story home is in a large lot in a hot neighborhood. From the open concept kitchen and living space to the large backyard there∏MŸ¸ plenty of room for the whole family to enjoy. This property has been recently remodeled from inside and out and nothing was overlooked. Some updates include new laminated flooring throughout, top finishes in both bathrooms, and kitchen area with a center piece chandelier that it∏MŸ¸ sure to be a conversational piece at all your family gatherings. Spacious two car garage with a lengthy drive way for plenty of parking space. Situated in a family friendly neighborhood near parks, schools, shopping, and transportation, this home is sure to go fast. Way too many upgrades to mention so come and check it out before it∏MŸ¸ gone!",SingleFamily,1950,Wall Furnace,"None, See Remarks","Garage, Garage Faces Front",5007,4,2,2,1592,2,2,Compton,Washington Elementary School,5,0.2,Davis Middle School,3,0.4,Compton High School,3,1.2,"Laminate, See Remarks",Wall Furnace,"None, See Remarks","Microwave, Water Heater","In Kitchen, See Remarks","Garage, Garage Faces Front",420240,7617,2019/11/8,499000,2019/5/31,325000,Compton,90222,CA
172,4816 Buchanan St,792000,"YOUR CLIENT MUST COME AND SEE THIS  BRAND NEW HOUSE WITH VIEW !!,  LOCATION!, LOCATION !, LOCATION!  SECLUDED ON A WIDE THREE LINED, AND QUIET CUL-DE-SAC  STREET.  IN THE HEART OF THE NEW GENTRIFIED ARE OF  HIGHLAND PARK, THREE BLOCKS FROM  ""CAFE DE LECHE"", ""JONY'S BAR"",""THE YORK"", HIGHLAND PARK BREWERY, TOWN PIZZA, HIGHLAND PARK BOWLING  AND MORE THAN A DOZEN RESTAURANTS AND SHOPS IN THE AREA.    ON THE BORDER LINE OF GLASSELL PARK, AND EAGLE ROCK ,WALKING DISTANCE  TO OCCIDENTAL COLLEGE, AND FRANKLIN H.S.>>>>>>>>    ALL INFORMATION INCLUDING  LOT SIZE, LIVING AREA SQ.FT.,  ETC. ARE DEEMED TO BE RELIABLE BUT NOT GUARANTEE BY L. AGENT OR SELLERS, BUYERS MUST PERFORM THEIR OWN INSPECTIONS,  INVESTIGATION  AND  RELY ON THEIR RESULTS.",SingleFamily,2019,"Central, Natural Gas, ENERGY STAR Qualified Equipment","Central Air, Electric, ENERGY STAR Qualified Equipment","Garage - Single Door, Garage Door Opener",4350,3,2,2,1250,2,2,Los Angeles,Buchanan Street Elementary School,5,0.3,,,,Benjamin Franklin Senior High School,7,0.8,"Tile, Wood","Central, Natural Gas, ENERGY STAR Qualified Equipment","Central Air, Electric, ENERGY STAR Qualified Equipment","Disposal, Gas Range, Gas Water Heater, Microwave, Refrigerator, Tankless Water Heater, Water Line to Refrigerator","Gas & Electric Dryer Hookup, In Garage","Garage - Single Door, Garage Door Opener",72828,1017,2019/11/15,799000,,,Los Angeles,90042,CA
173,3733 Ocean View Ave,1364000,"Sited at the base of Mar Vista Hill & on one of the most prominent streets in the area, this painstakingly renovated bungalow is reminiscent of the most enchanting Venice Beach cottages. House offers 3 bedrooms & 2 lux bathrooms served by a tankless water heater. Chef's kitchen includes 6-burner range, 2 ovens, stainless steel refrigerator, eat-in breakfast area & ample cabinet storage. Crown moldings everywhere accent dining area & living room w/ period hardwood floors, fireplace, & custom shutters. Large double paned Tilt & Turn windows create serene quiet yet also convey the ocean breeze & treetop views. Private yard has terraced gardens, outdoor dining patio/sundeck, & orange/lemon trees. Close to Mar Vista Park & Farmer's Market, Starbucks, Whole Foods, Mitsuwa Marketplace & bike path. Move-in condition for the meticulous Buyer & located amongst many expensive custom homes.",SingleFamily,1953,Central,Central Air,Garage - Two Door,,3,2,1,,0,0,Los Angeles,Grand View Boulevard Elementary School,6,0.4,Daniel Webster Middle School,3,1.5,Venice Senior High School,6,0.8,Wood,Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",In Garage,Garage - Two Door,1362923,16549,2019/10/18,1545000,,,Los Angeles,90066,CA
174,4421 Berkshire Ave,1062000,"Grand two story craftsman located in the charming El Sereno-Berkshire Historical zone one block from South Pas.   This is the type of home that could be in the family for generations.  Many original details are still intact like the period wood windows, doors and other elements that make this a unique home.  The home is spacious and offers 4 generous bedrooms and 2 baths.   The dining room features a built in, boxed ceiling and wainscot walls. Recent upgrades include new floors, paint inside and out.   Since this property in a Historical Preservation Zone you will be ensured of the historical integrity of the pocket. The large lot features plenty of grassy outdoor space for kids to roam around. Long driveway that can fit many cars leads you to the spacious garage that has possibility of an ADU conversion.  Possibility of getting an inter district permit for your children to go to South Pasadena Schools.   Please visit South Pasadena schools website for more info.",SingleFamily,1911,Wall Furnace,None,"Driveway, Garage",7972,4,2,2,2182,0,0,Los Angeles,Sierra Vista Elementary School,6,0.1,El Sereno Middle School,5,1.6,Woodrow Wilson Senior High School,4,2.4,Wood,Wall Furnace,None,,Inside,"Driveway, Garage",720000,9036,2019/12/7,899000,2019/10/23,720000,Los Angeles,90032,CA
175,201 Sansome St UNIT 404,910000,"One of the most beautiful buildings in San Francisco, The Royal is a registered historical landmark converted to luxury condos in 2006.  Unit 404, 1 Bedroom, 1 Bath boats desirable west facing views of the iconic Pacific Coast Stock Exchange.  The spacious open floor plan design is met with an abundance of natural light. Custom hardwood flooring throughout, granite countertops, Poggenpohl cabinetry and Bosch appliances.  The rooftop garden's skyline showcases such famed buildings as the Trans America and the historic Merchants Exchange. The lobby is immaculately adorned with imported marble from a 17th century Italian piazza. With a walk score of 99, you'll find many of life's conveniences right out your front door.   It's as East Coast Wall Street as you can get in the heart of the Financial District.",Condo,1909,,,None,,1,1,1,806,0,0,San Francisco,Chin (John Yehall) Elementary School,9,0.4,Francisco Middle School,6,1,Five Keys Independence High School (Sf Sheriff's),2,0.9,Wood,,,"Dishwasher, Disposal, Microwave",Laundry Closet,None,851412,10954,2019/10/7,950000,2006/8/31,695000,San Francisco,94104,CA
176,2736 Guirado St,605000,"**Welcome Home**  Come see this true GEM in the centrally located neighborhood of Boyle heights. Home features include 3 great sized bedrooms, 2 bathrooms, large living room, fully remodeled kitchen, laundry room, dining area, and two remodeled bathrooms. That's upstairs. Downstairs features a great bonus unit that is fully remodeled with kitchen, bedroom, and bathroom. Tiered backyard with lemon, orange, and fig trees. House also features new windows, central AC and heat, and a two space Carport.",SingleFamily,1971,Central,Central Air,,4921,3,2,2,1170,0,0,Los Angeles,Euclid Avenue Elementary School,5,0.3,Hollenbeck Middle School,6,0.2,Theodore Roosevelt Senior High,3,0.3,Laminate,Central,Central Air,"6 Burner Stove, Gas Range",Laundry Room,,326528,4116,2019/11/21,599999,2013/4/9,290000,Los Angeles,90023,CA
177,459 War Admiral Ave,200500,"!! Don't miss this opportunity to make this Gorgeous Home be yours !! Completely remodeled !! Everything is well maintained, very clean and included lots of upgraded !! The house remodeled in 2014 with brand name stainless steel appliances, dishwasher, microwave, granite counter-top and back-splash, recessed lights, newer kitchen cabinet, Grohe's sink and faucet, tile floors, Bamboo hardwood floors, crow-molding, new central A/C, dual-pane windows, alarm & intercom system, newer water heater tank, re-piped w/cooper, ceiling fans, newer exterior/interior painted, garage door opener, 220 volts outlet for electric car charger in garage. Professional and low maintenance landscaping in front and back yards..., Large master bedroom with extra square feet add on not included in square footage (unknown permit) and much..much more..",SingleFamily,1961,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",5501,3,2,2,1120,1,1,San Jose,Stipe (Samuel) Elementary School,4,0.2,,,,Oak Grove High School,5,1.3,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven","In Garage, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",790704,11471,2017/11/10,728888,2017/12/15,760000,San Jose,95111,CA
178,408 Sylvan Ave,2205000,"This expanded and tastefully remodeled home boasts 4 bedrooms & 3 bathrooms. A perfect floor plan for a growing family, spacious living room, wood burning fireplace, large open modern kitchen custom built-in cabinets, features leathered granite counters and new appliances with great natural light throughout this home. The master suite has a large walk-in closet and huge master bath. Home has ample extra storage with plenty of closets and attached garage. All new hardwood floors, electrical, plumbing, central heat with A/C and fire sprinkler system. This home is great for entertaining, gardening, or just for kids to freely enjoy. This home has a fabulous layout and offers amazing value and should not be missed! The property's central location is also exceptionally convenient just a short walk away to parks, schools, shopping, restaurants and transportation. Must See!",SingleFamily,1940,Central Forced Air,Central AC,"Garage, Garage - Attached",5501,4,3,3,2280,0,0,San Mateo,Laurel Elementary School,4,0.4,Abbott Middle School,4,0.4,Hillsdale High School,7,0.4,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,"Garage, Garage - Attached",1350000,16274,2019/11/2,2298000,2018/12/5,1350000,San Mateo,94403,CA
179,4417 Concerto Dr,721500,"** Open House: Sunday, January 26th 12pm - 2pm ** Beautiful 3 bedroom, 1 bath home! Pergo flooring throughout the house. Huge kitchen features granite counter tops, tile back splash and maple wood cabinets. Remodeled Bathroom with separate tub and standing shower with tile stone and glass door. Sink has granite with maple wood cabinets. Home comes with AC and Solar panels. Ample backyard for family gatherings. Freshly painted. Close to schools, shopping and Hellyer Park. Near Hwy 101 and 85 for easy commutes! Garage converted to a 1 bedroom studio with a full bath and kitchen, and own side entrance. Leased separately.

1 year lease.
Tenants pay utilities. Electricity included in the rent (solar).
No Smoking",SingleFamily,1958,Forced air,Other,"Garage, Garage - Attached, Covered",5558,3,1,,1232,1,1,San Jose,Christopher Elementary School,5,0.3,,,,Andrew P. Hill High School,4,1,,Forced air,Other,"Dryer, Washer",In Unit,"Garage, Garage - Attached, Covered",532980,8562,2019/11/2,768900,2015/2/10,485000,San Jose,95111,CA
180,1814 W Century Blvd,745000,"Rare remodeled Duplex in Gramercy Park! Unit 1 is a 4-Bedroom with market rents of $3100 per month. Unit 2 is a 2-Bedrooms with market rents of $2000 per month. Boasting central a/c & heat, stainless steel appliances, triple pane windows, solid core exterior doors, tankless water heater, updated electrical panels, remote operated garage doors, community laundry room with 2 washers & 2 dryers. This duplex also includes a permitted bonus room that can be used for additional income. Conveniently located near public transportation, freeways, parks, LAX & just a 7 minute drive from the LA Rams Stadium & Entertainment District makes this perfect for an AirBnB rentals!!",Unknown,1943,Central,Central Air,Garage,,,,,1983,6,2,Los Angeles,Manhattan Place Elementary School,1,0.2,Animo Charter Middle No. 3,4,1.5,George Washington Preparatory High School,2,0.6,"Laminate, Tile",Central,Central Air,"Self Cleaning Oven, Dishwasher, ENERGY STAR Qualified Appliances, Gas Oven, Microwave, Tankless Water Heater, Dryer, Washer",Laundry Room,Garage,254879,3607,2019/9/23,679995,,,Los Angeles,90047,CA
181,3380 Acampo Rd,2395000,"First time on the market perched high in Los Olivos overlooking rolling oak studded hills is an eco-friendly contemporary estate nestled among California native plants.This serene 20+/- acre parcel is adjacent to the multi-thousand acre Chamberlain Ranch and overlooks 9+/- acres of prime agriculture soils; 3.5 acres currently planted with grapes.The sophisticated and relaxed single level house features a metal roof, seamless stained concrete floors, heart cypress recycled wood, and 12'' insulated foam and concrete walls.The house has 3 bdrs and 3 1/2 baths as well as an office.Wide hallways and spacious living areas make this home extremely livable and offers an ease for entertaining.Each room has stunning views of the surrounding mountains and expertly designed gardens.There is a charming..",SingleFamily,2002,,,0 spaces,,3,4,3,3683,0,0,Los Olivos,Los Olivos Elementary School,8,0.9,,,,Refugio High School,,4.3,,,,,,,1020082,10913,2019/12/20,2395000,1996/12/31,240000,Los Olivos,93441,CA
182,3126 W 11th St,8750000,Great Location. Good opportunity for Investment and Development. 2 parcels of  3122  w. 11th st and 3126  w 11th st. To be sold together. Total of 10800 sq ft.  R 4 Zoning. Near huge  Korean market. 1 Block East of Western  and 1 Block south of Olympic Blvd..very conveniently located in the heart of Korea town. near Los Angeles down town. near 10 Freeway.,SingleFamily,1914,Other,Other,"Garage, Carport, Garage - Detached, Covered",5344,3,1,1,1342,6,6,Los Angeles,Los Angeles Elementary School,3,0.1,Pio Pico Middle School,5,0.7,West Adams Preparatory High School,4,1.3,Other,Wall,Other,,Other,"Garage, Carport, Garage - Detached, Covered",1290000,15783,2017/6/26,1100000,2018/10/11,1250000,Los Angeles,90006,CA
183,431 S Kingsley Dr APT 201,550000,"Bright and airy two bedroom, two bathroom condo with an open design.  When you enter the living room, you'll notice the high ceilings and hardwood floors. The kitchen has upgraded granite counter tops and plenty of cabinet space. The unit has a private balcony, intercom system, and a washer and dryer located inside. Community offers an association swimming pool with low HOA fee. Conveniently located in the center of Korea town.",Condo,1983,Central,Central Air,Garage,,2,2,2,1204,2,2,Los Angeles,Cahuenga Elementary School,5,0.3,,,,,,,"Stone, Wood",Central,Central Air,,Inside,Garage,412098,4991,2019/10/16,580000,,,Los Angeles,90020,CA
184,222 S Central Ave APT 117,377000,"Are you ready to start enjoying the ultimate Downtown Los Angeles lifestyle? Here is your chance at owning this charming condo in the heart of LA, centrally located in Little Tokyo and adjacent to the Arts District, The Financial District, Bunker Hill, Union Station, Metrolink, Olvera Street, Pershing Square, Staples Center, LA Live, Korea Town, several museums and countless restaurants. This first level unit boasts an open floor plan with new interior paint and hardwood floors in the living and dining area. Kitchen features linoleum flooring, new stainless-steel appliances and a breakfast bar. Condo is complete with a spacious bedroom, a bathroom with a newer vanity, a balcony and a private in-unit washer and dryer. Tokyo Villa extends an additional washer and dryer on each floor of the building and, 1 parking space and a storage space in the underground garage. Water and trash included. Offering 24-hour security, lobby, Koi pond, clubhouse, gym, spa, dry sauna and the LOWEST HOA in the area, this Tokyo Villa unit is perfect for those looking to buy in the desirable Downtown LA area! Give us a call today to schedule a private showing. You must see it for yourself!",Condo,1985,,Wall/Window Unit(s),"Community Structure, Controlled Entrance",,1,1,1,578,1,1,Los Angeles,,,,Hollenbeck Middle School,6,1.8,Belmont Senior High School,3,1.8,"Vinyl, Wood",,Wall/Window Unit(s),"Electric Oven, Microwave, Refrigerator",Laundry Room,"Community Structure, Controlled Entrance",110208,1424,2019/11/21,375000,2000/12/29,80000,Los Angeles,90012,CA
